Image,Object type,Museum number,Title,Denomination,Escapement,Description,Producer name,School/style,State,Authority,Ethnic name (made by),Ethnic name (assoc),Culture,Production date,Production place,Find spot,Materials,Ware,Type series,Technique,Dimensions,Inscription,Curators Comments,Bib references,Location,Exhibition history,Condition,Subjects,Assoc name,Assoc place,Assoc events,Assoc titles,Acq name (acq),Acq name (finding),Acq name (excavator),Acq name (previous),Acq date,Acq notes (acq),Acq notes (exc),Dept,BM/Big number,Reg number,Add ids,Cat no,Banknote serial number,Joined objects
https://media.britishmuseum.org/media/Repository/Documents/2014_10/2_19/c7dc700f_e7d6_4dd4_898f_a3b8013a6a61/preview_00324859_001.jpg,bag (object name),"No: Optional[As1992,10.23]",,,,"A bag made of synthetic fabric.; ",,,,,,,,20thC,Made in: Nepal,Found/Acquired: Nepal,synthetic fibre,,,,"68.00 centimetres including handle ;  37.00 centimetres; ",,,,Not on display,,,,,,,,Purchased from: Mrs Susi Dunsmore,,,Purchased from: Mrs Susi Dunsmore,1992,Commissioned collection.,,Asia,,"As1992,10.23",,,
"",banknote (object name),"No: Optional[2013,4128.4]",,50 rupee (),,"Banknote.; View of Mount Everest, left: centre, inscription, in seven lines with flower watermark within arch to right.; Goat, with mountains in background, standing left.",,,,Central Bank of Nepal,,,,2008,Issued in: Nepal,,paper,,,,"142.00 millimetres;  69.00 millimetres; ",,,,Not on display,,,landscape; mammal,,,,,Donated by: E R Hockenhull,,,Donated by: E R Hockenhull,2013,,,Money and Medals,,"2013,4128.4",,,
"",banknote (object name),"No: Optional[2012,4057.3]",,50 rupee (),,"Banknote; View of Mount Everest, left: centre, inscription, in seven lines with flower watermark within arch to right.; Goat, with mountains in background, standing left.",,,,Central Bank of Nepal,,,,2008,Issued in: Nepal,,paper,,,,"141.00 millimetres;  69.00 millimetres; ",,,,Not on display,,,landscape; mammal,,"Topographic representation of: Everest, Mount",,,Donated by: Cam Sharp Jones,,,Donated by: Cam Sharp Jones,2012,,,Money and Medals,,"2012,4057.3",,,
"",banknote (object name),"No: Optional[2012,4057.5]",,20 rupee (),,"Banknote; View of Mount Everest, left: centre, inscription, in seven lines with flower watermark to right.; Stag, with grassland scene in background, standing left, head facing front.",,,,Central Bank of Nepal,,,,2008,Issued in: Nepal,,paper,,,,"140.00 millimetres;  70.00 millimetres; ",,,,Not on display,,,landscape; mammal,,"Topographic representation of: Everest, Mount",,,Donated by: Cam Sharp Jones,,,Donated by: Cam Sharp Jones,2012,,,Money and Medals,,"2012,4057.5",,,
"",banknote (object name),"No: Optional[2014,4077.2]",,20 rupee (),,"Banknote.; View of Mount Everest, left: centre, inscription, in seven lines with flower watermark to right.; Stag, with grassland scene in background, standing left, head facing front.",,,,Central Bank of Nepal,,,,2012,Issued in: Nepal,,paper,,,,"140.00 millimetres;  70.00 millimetres; ",,,,Not on display,,,landscape; mammal,,"Topographic representation of: Everest, Mount",,,Donated by: E R Hockenhull,,,Donated by: E R Hockenhull,2014,,,Money and Medals,,"2014,4077.2",,,
"",banknote (object name),"No: Optional[2012,4057.1]",,100 rupee (),,"Banknote; View of Mount Everest, left: centre, building with pagoda style roof below inscription, in seven lines with flower watermark to right.; Rhinoceros, in grassland, pacing left.",,,,Central Bank of Nepal,,,,2008,Issued in: Nepal,,paper,,,,"150.00 millimetres;  70.00 millimetres; ",,,,Not on display,,,landscape; mammal,,"Topographic representation of: Everest, Mount",,,Donated by: Cam Sharp Jones,,,Donated by: Cam Sharp Jones,2012,,,Money and Medals,,"2012,4057.1",,,
"",banknote (object name),"No: Optional[2012,4057.2]",,100 rupee (),,"Banknote; View of Mount Everest, left: centre, building with pagoda style roof below inscription, in seven lines with flower watermark to right.; Rhinoceros, in grassland, pacing left.",,,,Central Bank of Nepal,,,,2008,Issued in: Nepal,,paper,,,,"150.00 millimetres;  70.00 millimetres; ",,,,Not on display,,,landscape; mammal,,"Topographic representation of: Everest, Mount",,,Donated by: Cam Sharp Jones,,,Donated by: Cam Sharp Jones,2012,,,Money and Medals,,"2012,4057.2",,,
"",banknote (object name),"No: Optional[2013,4128.2]",,1000 rupee (),,"Banknote.; View of Mount Everest, left: centre, inscription, in seven lines with flower watermark within arch to right: black, red and green print.; Elephant standing three quarters right: black, red and green print.",,,,Central Bank of Nepal,,,,2008,Issued in: Nepal,,paper,,,,"171.00 millimetres;  69.00 millimetres; ",,,,Not on display,,,landscape; elephant,,,,,Donated by: E R Hockenhull,,,Donated by: E R Hockenhull,2013,,,Money and Medals,,"2013,4128.2",,,
"",banknote (object name),"No: Optional[2013,4128.3]",,500 rupee (),,Banknote.; Mountain.; Two tigers standing right; decorative border: brown and black print on white background.,,,,Central Bank of Nepal; Gyanendra Bir Bikram Shah Dev,,,,2008,Issued in: Nepal,,paper,,,,"162.00 millimetres;  70.00 millimetres; ",,,,Not on display,,,landscape; mammal,,,,,Donated by: E R Hockenhull,,,Donated by: E R Hockenhull,2013,,,Money and Medals,,"2013,4128.3",,,
"",banknote (object name),"No: Optional[2012,4057.4]",,50 rupee (),,"Banknote; Bust of Gyanendra Shah on left, draped, head, crowned, facing three quarters right: centre, inscription, in seven lines with flower watermark within arch to right.; Goat, with mountains in background, standing left.",,,,Central Bank of Nepal; Gyanendra Bir Bikram Shah Dev,,,,2001 (or later),Issued in: Nepal,,paper,,,,"141.00 millimetres;  69.00 millimetres; ",,,,Not on display,,,landscape; mammal,Named in inscription & portrayed: Gyanendra Bir Bikram Shah Dev,,,,Donated by: Cam Sharp Jones,,,Donated by: Cam Sharp Jones,2012,,,Money and Medals,,"2012,4057.4",,,
"",banknote (object name),"No: Optional[2014,4077.3]",,10 rupee (),,"Banknote.; View of Mount Everest, left: centre, seated figure facing front overlaid with inscription, in seven lines with flower watermark to right.; Deer seated left, head facing right, in grassland scene: to left, deer, standing facing front, and to right, deer standing left.",,,,Central Bank of Nepal,,,,2008,Issued in: Nepal,,paper,,,,"132.00 millimetres;  69.00 millimetres; ",,,,Not on display,,,landscape; mammal,,"Topographic representation of: Everest, Mount",,,Donated by: E R Hockenhull,,,Donated by: E R Hockenhull,2014,,,Money and Medals,,"2014,4077.3",,,
"",banknote (object name),"No: Optional[2012,4057.6]",,10 rupee (),,"Banknote; View of Mount Everest, left: centre, seated figure facing front overlaid with inscription, in seven lines with flower watermark to right.; Deer seated left, head facing right, in grassland scene: to left, deer, standing facing front, and to right, deer standing left.",,,,Central Bank of Nepal,,,,2008,Issued in: Nepal,,paper,,,,"132.00 millimetres;  69.00 millimetres; ",,,,Not on display,,,landscape; mammal,,"Topographic representation of: Everest, Mount",,,Donated by: Cam Sharp Jones,,,Donated by: Cam Sharp Jones,2012,,,Money and Medals,,"2012,4057.6",,,
"",banknote (object name),"No: Optional[2014,4077.1]",,100 rupee (),,"Banknote.; View of Mount Everest, left: centre, building with pagoda style roof below inscription, in seven lines with flower watermark to right.; Rhinoceros, in grassland, pacing left.",,,,Central Bank of Nepal,,,,2012,Issued in: Nepal,,paper,,,,"150.00 millimetres;  70.00 millimetres; ",,,,Not on display,,,landscape; mammal,,"Topographic representation of: Everest, Mount;  Named in inscription: Lumbini",,,Donated by: E R Hockenhull,,,Donated by: E R Hockenhull,2014,,,Money and Medals,,"2014,4077.1",,,
"",banknote (object name),"No: Optional[2012,4057.7]",,5 rupee (),,"Banknote; View of Mount Everest, left: centre, building with pagoda style roof in three tiers, overlaid with inscription, in seven lines with flower watermark to right.; Two Bison facing left and right, in grassland scene with mountains in background.",,,,Central Bank of Nepal,,,,2008,Issued in: Nepal,,paper,,,,"122.00 millimetres;  69.00 millimetres; ",,,,Not on display,,,landscape; mammal,,"Topographic representation of: Everest, Mount",,,Donated by: Cam Sharp Jones,,,Donated by: Cam Sharp Jones,2012,,,Money and Medals,,"2012,4057.7",,,
"",banknote (object name),"No: Optional[2013,4128.5]",,5 rupee (),,"Banknote; View of Mount Everest, left: centre, building with pagoda style roof in three tiers, overlaid with inscription, in seven lines with flower watermark to right.; Two Bison facing left and right, in grassland scene with mountains in background.",,,,Central Bank of Nepal,,,,2008,Issued in: Nepal,,paper,,,,"119.00 millimetres;  70.00 millimetres; ",,,,Not on display,,,landscape; mammal,,"Topographic representation of: Everest, Mount",,,Donated by: E R Hockenhull,,,Donated by: E R Hockenhull,2013,,,Money and Medals,,"2013,4128.5",,,
"",banknote (object name),"No: Optional[2014,4077.4]",,10 rupee (),,"Banknote.; View of Mount Everest, left: centre, seated figure facing front overlaid with inscription, in seven lines with flower watermark to right.; Deer seated left, head facing right, in grassland scene: to left, deer, standing facing front, and to right, deer standing left.",,,,Central Bank of Nepal,,,,2012,Issued in: Nepal,,paper,,,,"132.00 millimetres;  69.00 millimetres; ",,,,Not on display,,,landscape; mammal,,"Topographic representation of: Everest, Mount",,,Donated by: E R Hockenhull,,,Donated by: E R Hockenhull,2014,,,Money and Medals,,"2014,4077.4",,,
https://media.britishmuseum.org/media/Repository/Documents/2025_8/11_15/1b27cb2c_cc60_4bbf_83a9_b33600fdc851/preview_1893_0317_24_a_b__1_.jpg,figure (object name); base (object name),"No: Optional[1893,0317.24.a-b]",,,,"Image and pedestal (in two parts). Figure of (a) four-armed Viṣṇu standing on a lotus base and (b) an elaborate pedestal resting on lions with a backplate consisting of a multi-headed serpent and a floral arch; cast in a copper alloy.; ",,,,,,,,19thC,,Found/Acquired: Nepal,bronze; copper alloy,,,cast,"42.00 centimetres;  28.00 centimetres;  24.00 centimetres; ",,"According to register, modern, 'from temple at Pashpecky' [=Pashupati?].",,Not on display,,,animal; bird; arch/gateway; lotus; deity,Representation of: Viṣṇu,,,,Donated by: Sir Augustus Wollaston Franks,,,Donated by: Sir Augustus Wollaston Franks,1893,,,Asia,,"1893,0317.24.a-b",Miscellaneous number: 1880.704 (1880.704),,
